 Date,Time,dateTime,dataDescription
10/9/18,8:28,10/9/18 8:28:00,Sh
10/9/18,8:41,10/9/18 8:41:00,Sh
10/9/18,8:53,10/9/18 8:53:00,Sh
10/9/18,8:53,10/9/18 8:53:00,Fu
10/9/18,8:56,10/9/18 8:56:00,Fu
10/9/18,8:56,10/9/18 8:56:00,Fu
10/9/18,9:13,10/9/18 9:13:00,Pis off
10/9/18,9:39,10/9/18 9:39:00,Fu
10/9/18,9:39,10/9/18 9:39:00,Fu
10/9/18,9:48,10/9/18 9:48:00,Gd dam
10/9/18,9:58,10/9/18 9:58:00,Sh
10/9/18,10:03,10/9/18 10:03:00,Sh
10/9/18,10:16,10/9/18 10:16:00,Pis off
10/9/18,10:40,10/9/18 10:40:00,Fu
10/9/18,10:43,10/9/18 10:43:00,Sh
10/9/18,10:47,10/9/18 10:47:00,Fu
10/9/18,10:47,10/9/18 10:47:00,Fu
10/9/18,10:56,10/9/18 10:56:00,Fu
10/9/18,12:01,10/9/18 12:01:00,Bi
10/9/18,12:05,10/9/18 12:05:00,Fu
10/9/18,12:05,10/9/18 12:05:00,Fu
10/9/18,12:06,10/9/18 12:06:00,Fu
10/9/18,12:39,10/9/18 12:39:00,Fu
10/9/18,1:06,10/9/18 1:06:00,As
10/9/18,1:11,10/9/18 1:11:00,Fu
10/9/18,1:11,10/9/18 1:11:00,Bi
10/9/18,1:13,10/9/18 1:13:00,Fu
10/9/18,1:14,10/9/18 1:14:00,Fu
10/9/18,1:14,10/9/18 1:14:00,Fu
10/9/18,1:14,10/9/18 1:14:00,Sh
10/9/18,1:27,10/9/18 1:27:00,Fu
10/9/18,1:28,10/9/18 1:28:00,Fu
10/9/18,1:42,10/9/18 1:42:00,Gd dam
10/9/18,1:44,10/9/18 1:44:00,Fu
10/9/18,1:45,10/9/18 1:45,Fu
10/9/18,1:45,10/9/18 1:45:00,Fu
10/9/18,1:52,10/9/18 1:52:00,Sh
10/10/18,9:16,10/10/18 9:16:00,Fu
10/10/18,9:17,10/10/18 9:17:00,Fu
10/10/18,9:58,10/10/18 9:58:00,Fu
10/10/18,10:36,10/10/18 10:36:00,Fu
10/10/18,10:38,10/10/18 10:38:00,Fu
10/10/18,11:07,10/10/18 11:07:00,Sh
10/10/18,11:10,10/10/18 11:10:00,Fu
10/10/18,1:53,10/10/18 1:53:00,Sh
10/10/18,1:56,10/10/18 1:56:00,Fu
10/10/18,1:56,10/10/18 1:56:00,As
10/10/18,1:56,10/10/18 1:56:00,Fu
10/10/18,1:56,10/10/18 1:56:00,As
10/10/18,1:56,10/10/18 1:56:00,Fu
10/10/18,1:57,10/10/18 1:57:00,Bi
10/10/18,1:57,10/10/18 1:57:00,Gd dam
10/10/18,1:57,10/10/18 1:57:00,As
10/10/18,2:09,10/10/18 2:09:00,Fu
10/11/18,8:41,10/11/18 8:41:00,Fu
10/11/18,8:42,10/11/18 8:42:00,Fu
10/11/18,8:59,10/11/18 8:59:00,Fu
10/11/18,9:15,10/11/18 9:15:00,Fu
10/11/18,9:16,10/11/18 9:16:00,Fu
10/11/18,9:16,10/11/18 9:16:00,Fu
10/11/18,9:18,10/11/18 9:18:00,Fu
10/11/18,9:26,10/11/18 9:26:00,Fu
10/11/18,9:29,10/11/18 9:29:00,Fu
10/11/18,9:36,10/11/18 9:36:00,Sh
10/11/18,10:07,10/11/18 10:07:00,Fu
10/11/18,11:02,10/11/18 11:02:00,As
10/11/18,11:02,10/11/18 11:02:00,As
10/11/18,11:12,10/11/18 11:12:00,Fu
10/11/18,11:12,10/11/18 11:12:00,Sh
10/11/18,12:07,10/11/18 12:07:00,Fu
10/11/18,12:31,10/11/18 12:31:00,Fu
